rank,name,role,company,channel,how_to_reach,why_them,status
1,Matt Dorsey,"Supervisor, District 6",SF Board of Supervisors,"Email + phone, published",dorseystaff@sfgov.org / 415-554-7970,"17 of the 25 watched corners are in his district, carrying 5 fatalities and 98 severe injuries in the five-year record. Every letter the agent drafts for those corners is addressed to his office. Lead with the D6 number, not the product.",not yet
2,Dominica Donovan,Chief of Staff,Office of Supervisor Matt Dorsey,"Email via office, published","dorseystaff@sfgov.org, ask for her by name / 415-554-7970",Chief of staff is who actually decides whether a constituent-facing data tool gets 20 minutes. Gatekeeper for the highest-value district.,not yet
3,Madison Tam,Legislative Aide,Office of Supervisor Matt Dorsey,"Email via office, published",dorseystaff@sfgov.org / 415-554-7970,Aides field the constituent street-safety complaints that this agent's 311 and collision deltas are made of. Most likely person to have felt the problem personally.,not yet
4,Bryan Dahl,Legislative Aide,Office of Supervisor Matt Dorsey,"Email via office, published",dorseystaff@sfgov.org / 415-554-7970,Second aide in the district holding two thirds of the watched set. Redundancy on the highest-value office costs nothing.,not yet
5,Mahanaz Ebadi,Legislative Aide,Office of Supervisor Matt Dorsey,"Email via office, published",dorseystaff@sfgov.org / 415-554-7970,"Third aide, same office. One of the four D6 staff will answer within 48 hours.",not yet
6,Ricardo Olea,"City Traffic Engineer, Transportation Engineering",SFMTA Streets Division,"LinkedIn DM, or SFMTA Board public comment",VERIFY EMAIL FIRST. SFMTA pattern looks like First.Last@sfmta.com (only confirmed on Erica.Kato@sfmta.com). Fallback: public comment at the Board Street Safety Committee.,"The City Traffic Engineer owns the collision record this agent reads and the engineering decisions it would trigger. If the restraint ledger is credible to anyone in the city, it is credible to him first.",not yet
7,Uyen Ngo,Vision Zero Program Manager,SFMTA,"LinkedIn DM, or SFMTA Board public comment","VERIFY TITLE AND EMAIL FIRST. Title read off a Feb 2024 SFMTA Vision Zero Committee document, so confirm she is still in post before sending.",Runs the program the agent is built around. The 'most mornings it decides to do nothing' framing is aimed squarely at someone drowning in alerts that all say act.,not yet
8,Viktoriya Wise,Streets Division Director,SFMTA,"LinkedIn DM, or SFMTA Board public comment","VERIFY EMAIL FIRST, see row 6. Named on sfmta.com/units/streets-division.",Owns the division that publishes and maintains the street safety record. Budget authority for anything that becomes a pilot.,not yet
9,Julie Kirschbaum,Director of Transportation,SFMTA,SFMTA Board meeting public comment,Attend or call into the SFMTA Board of Directors meeting; agendas at sfmta.com. Also reachable via MTABoard@sfmta.com.,"Agency head, named permanent director in Feb 2025 during a budget crisis. An agent that cuts alert volume rather than adding to it is a budget story, not a tech story.",not yet
10,Sean Kennedy,Chief Planning and Delivery Officer,SFMTA Streets Division,"LinkedIn DM, or SFMTA Board public comment","VERIFY EMAIL FIRST, see row 6. Named on sfmta.com/units/streets-division.",Livable Streets sits under Planning and Delivery. He owns whether a corner's published page gets redrafted at all.,not yet
11,Fiona Hinze,"Director, Chair of the Street Safety Committee",SFMTA Board of Directors,"Email, published","MTABoard@sfmta.com, addressed to her as Street Safety Committee Chair",Chairs the committee this project was built for. A published email on a board that must read public comment is the single most reliable 48-hour route into SFMTA.,not yet
12,Stephanie Cajina,"Vice Chair, Street Safety Committee",SFMTA Board of Directors,"Email, published","MTABoard@sfmta.com, addressed to her as Vice Chair","Same committee, same verified inbox. Two named recipients doubles the odds one reads it.",not yet
13,Bilal Mahmood,"Supervisor, District 5",SF Board of Supervisors,"Email + phone, published",MahmoodStaff@sfgov.org / 415-554-7630,"6 watched corners in D5 including Jones and Market and Larkin and Willow, carrying 3 fatalities and 27 severe injuries. Second-largest share of the watched set.",not yet
14,Samantha Logan,Chief of Staff,Office of Supervisor Bilal Mahmood,"Email via office, published",MahmoodStaff@sfgov.org / 415-554-7630,Gatekeeper for the second-biggest district in the watched set.,not yet
15,Raynell Cooper,Legislative Aide,Office of Supervisor Bilal Mahmood,"Email via office, published",MahmoodStaff@sfgov.org / 415-554-7630,Handles the casework where a stale published figure actually bites.,not yet
